Round,Category,Value,Question,Answer
1,"90s TV",100,"What sitcom starred Tim Allen as a TV host on Tool Time?","Home Improvement"
1,"90s TV",200,"What sci-fi show featured Agents Mulder and Scully investigating unexplained phenomena?","X-Files"
1,"90s TV",300,"What teen drama took place in the town of ""Capeside"" and starred Katie Holmes?","Dawson's Creek"
1,"90s TV",400,"Which 90s legal drama starred Jimmy Smits and focused on a New York law firm?","NYPD Blue"
1,"90s TV",500,"This 90s sitcom focuses on a radio psychologist living in Seattle with his father and a physical therapist","Frasier"
1,"2000s Pop Music",100,"Which boy band sang, ""Bye, bye, bye""?","NSync"
1,"2000s Pop Music",200,"What Eminem song features the line, ""You only get one shot""?","Lose Yourself"
1,"2000s Pop Music",300,"What Kelly Clarkson song launched her career after winning American Idol?","Moment Like This"
1,"2000s Pop Music",400,"What 2001 Alicia Keys song features a piano riff inspired by Beethoven's ""Moonlight Sonata""?","Fallin'"
1,"2000s Pop Music",500,"What 2003 pop hit by Evanescence features the lyrics, ""Wake me up inside""?","Bring me to Life"
1,"Indian Cuisine",100,"What flatbread is traditionally cooked in a tandoor oven?","Naan"
1,"Indian Cuisine",200,"What South Indian fermented dish is made from rice and lentils and cooked into a thin, crispy crepe?","Dosa"
1,"Indian Cuisine",300,"What Indian dessert is made by frying milk solids and soaking them in sugar syrup","Gulab Jamun"
1,"Indian Cuisine",400,"What street food snack consists of a hollow, crispy shell filled with spiced water, potatoes, and chutneys and is known by different names across India","Pani puri, golgappa"
1,"Indian Cuisine",500,"What spice, derived from dry flower stigmas, gives dishes like biryani their golden colour and aroma?","Saffron"
1,"Movie Quotes",100,"I'll be back","The Terminator"
1,"Movie Quotes",200,"Keep the change ya filthy animal","Home Alone"
1,"Movie Quotes",300,"I volunteer as tribute","Hunger Games"
1,"Movie Quotes",400,"It's alive! It's aliiiiiiive!!","Frankenstein"
1,"Movie Quotes",500,"I'm having an old friend for dinner","The Silence of the Lambs"
1,"Trivial Pursuits: General Knowledge",100,"What is the largest mammal on Earth?","Blue Whale"
1,"Trivial Pursuits: General Knowledge",200,"In which country would you find the city of Marrakesh?","Morocco"
1,"Trivial Pursuits: General Knowledge",300,"Which language has the most native speakers in the world?","Mandarin"
1,"Trivial Pursuits: General Knowledge",400,"Which gas is most abundant in the Earth's atmosphere?","Nitrogen"
1,"Trivial Pursuits: General Knowledge",500,"In Greek mythology, who was condemned to hold up the sky for eternity?","Atlas"